room_id	room_name	available_from	available_to	block_id	floor_id	advance	max_beds	room_rent
57	219	2019-01-01	2099-12-31	2	7	20000.00	3	7500.00
58	220	2019-01-01	2099-12-31	2	7	20000.00	3	7500.00
59	221	2019-01-01	2099-12-31	2	7	20000.00	3	7500.00
60	222	2019-01-01	2099-12-31	2	7	20000.00	3	7500.00
61	223	2019-01-01	2099-12-31	2	7	20000.00	4	7500.00
62	224	2019-01-01	2099-12-31	2	7	20000.00	3	7500.00
63	225	2019-01-01	2099-12-31	2	7	20000.00	3	7500.00
64	309	2019-01-01	2099-12-31	2	8	20000.00	3	7500.00
65	310	2019-01-01	2099-12-31	2	8	20000.00	3	7500.00
66	311	2019-01-01	2099-12-31	2	8	20000.00	3	7500.00
67	312	2019-01-01	2099-12-31	2	8	20000.00	3	7500.00
68	313	2019-01-01	2099-12-31	2	8	20000.00	3	7500.00
69	314	2019-01-01	2099-12-31	2	8	20000.00	3	7500.00
70	315	2019-01-01	2099-12-31	2	8	20000.00	3	7500.00
71	316	2019-01-01	2099-12-31	2	8	20000.00	3	7500.00
72	317	2019-01-01	2099-12-31	2	8	20000.00	3	7500.00
73	318	2019-01-01	2099-12-31	2	8	20000.00	3	7500.00
74	319	2019-01-01	2099-12-31	2	8	20000.00	3	7500.00
75	320	2019-01-01	2099-12-31	2	8	20000.00	3	7500.00
76	321	2019-01-01	2099-12-31	2	8	20000.00	3	7500.00
77	322	2019-01-01	2099-12-31	2	8	20000.00	3	7500.00
78	323	2019-01-01	2099-12-31	2	8	20000.00	4	7500.00
79	324	2019-01-01	2099-12-31	2	8	20000.00	3	7500.00
80	325	2019-01-01	2099-12-31	2	8	20000.00	3	7500.00
81	409	2019-01-01	2099-12-31	2	9	20000.00	3	7500.00
82	410	2019-01-01	2099-12-31	2	9	20000.00	3	7500.00
83	411	2019-01-01	2099-12-31	2	9	20000.00	3	7500.00
84	412	2019-01-01	2099-12-31	2	9	20000.00	3	7500.00
85	413	2019-01-01	2099-12-31	2	9	20000.00	3	7500.00
86	414	2019-01-01	2099-12-31	2	9	20000.00	3	7500.00
87	415	2019-01-01	2099-12-31	2	9	20000.00	3	7500.00
88	416	2019-01-01	2099-12-31	2	9	20000.00	3	7500.00
89	417	2019-01-01	2099-12-31	2	9	20000.00	3	7500.00
90	418	2019-01-01	2099-12-31	2	9	20000.00	3	7500.00
91	419	2019-01-01	2099-12-31	2	9	20000.00	3	7500.00
92	420	2019-01-01	2099-12-31	2	9	20000.00	3	7500.00
93	421	2019-01-01	2099-12-31	2	9	20000.00	3	7500.00
94	422	2019-01-01	2099-12-31	2	9	20000.00	3	7500.00
95	423	2019-01-01	2099-12-31	2	9	20000.00	4	7500.00
96	424	2019-01-01	2099-12-31	2	9	20000.00	3	7500.00
97	425	2019-01-01	2099-12-31	2	9	20000.00	3	7500.00
