bed_id	bed_name	available_from	available_to	block_id	floor_id	room_id
101	S1	2019-01-01	2099-12-31	1	4	20
102	S2	2019-01-01	2099-12-31	1	4	20
103	S3	2019-01-01	2099-12-31	1	4	20
104	S1	2019-01-01	2099-12-31	1	4	21
105	S2	2019-01-01	2099-12-31	1	4	21
106	S3	2019-01-01	2099-12-31	1	4	21
107	S1	2019-01-01	2099-12-31	1	4	22
108	S2	2019-01-01	2099-12-31	1	4	22
109	S1	2019-01-01	2099-12-31	1	5	23
110	S2	2019-01-01	2099-12-31	1	5	23
111	S3	2019-01-01	2099-12-31	1	5	23
112	S1	2019-01-01	2099-12-31	1	5	24
113	S2	2019-01-01	2099-12-31	1	5	24
114	S3	2019-01-01	2099-12-31	1	5	24
115	S1	2019-01-01	2099-12-31	1	5	25
116	S2	2019-01-01	2099-12-31	1	5	25
117	S3	2019-01-01	2099-12-31	1	5	25
118	S1	2019-01-01	2099-12-31	1	5	26
119	S2	2019-01-01	2099-12-31	1	5	26
120	S3	2019-01-01	2099-12-31	1	5	26
121	S1	2019-01-01	2099-12-31	1	5	27
122	S2	2019-01-01	2099-12-31	1	5	27
123	S3	2019-01-01	2099-12-31	1	5	27
124	S1	2019-01-01	2099-12-31	1	5	28
125	S2	2019-01-01	2099-12-31	1	5	28
126	S3	2019-01-01	2099-12-31	1	5	28
127	S1	2019-01-01	2099-12-31	1	5	29
128	S2	2019-01-01	2099-12-31	1	5	29
129	S1	2019-01-01	2099-12-31	2	6	30
130	S2	2019-01-01	2099-12-31	2	6	30
131	S3	2019-01-01	2099-12-31	2	6	30
132	S1	2019-01-01	2099-12-31	2	6	31
133	S2	2019-01-01	2099-12-31	2	6	31
134	S3	2019-01-01	2099-12-31	2	6	31
135	S1	2019-01-01	2099-12-31	2	6	32
136	S2	2019-01-01	2099-12-31	2	6	32
137	S3	2019-01-01	2099-12-31	2	6	32
138	S1	2019-01-01	2099-12-31	2	6	33
139	S2	2019-01-01	2099-12-31	2	6	33
140	S3	2019-01-01	2099-12-31	2	6	33
141	S1	2019-01-01	2099-12-31	2	6	34
142	S2	2019-01-01	2099-12-31	2	6	34
143	S3	2019-01-01	2099-12-31	2	6	34
144	S1	2019-01-01	2099-12-31	2	6	35
145	S2	2019-01-01	2099-12-31	2	6	35
146	S3	2019-01-01	2099-12-31	2	6	35
147	S1	2019-01-01	2099-12-31	2	6	36
148	S2	2019-01-01	2099-12-31	2	6	36
149	S3	2019-01-01	2099-12-31	2	6	36
150	S1	2019-01-01	2099-12-31	2	6	37
151	S2	2019-01-01	2099-12-31	2	6	37
152	S3	2019-01-01	2099-12-31	2	6	37
153	S1	2019-01-01	2099-12-31	2	6	38
154	S2	2019-01-01	2099-12-31	2	6	38
155	S3	2019-01-01	2099-12-31	2	6	38
156	S1	2019-01-01	2099-12-31	2	6	39
157	S2	2019-01-01	2099-12-31	2	6	39
158	S3	2019-01-01	2099-12-31	2	6	39
159	S1	2019-01-01	2099-12-31	2	6	40
160	S2	2019-01-01	2099-12-31	2	6	40
161	S3	2019-01-01	2099-12-31	2	6	40
162	S1	2019-01-01	2099-12-31	2	6	41
163	S2	2019-01-01	2099-12-31	2	6	41
164	S3	2019-01-01	2099-12-31	2	6	41
165	S1	2019-01-01	2099-12-31	2	6	42
166	S2	2019-01-01	2099-12-31	2	6	42
167	S3	2019-01-01	2099-12-31	2	6	42
168	S1	2019-01-01	2099-12-31	2	6	43
169	S2	2019-01-01	2099-12-31	2	6	43
170	S3	2019-01-01	2099-12-31	2	6	43
171	S1	2019-01-01	2099-12-31	2	6	44
172	S2	2019-01-01	2099-12-31	2	6	44
173	S3	2019-01-01	2099-12-31	2	6	44
174	S4	2019-01-01	2099-12-31	2	6	44
175	S1	2019-01-01	2099-12-31	2	6	45
176	S2	2019-01-01	2099-12-31	2	6	45
177	S3	2019-01-01	2099-12-31	2	6	45
178	S1	2019-01-01	2099-12-31	2	6	46
179	S2	2019-01-01	2099-12-31	2	6	46
180	S3	2019-01-01	2099-12-31	2	6	46
181	S1	2019-01-01	2099-12-31	2	7	47
182	S2	2019-01-01	2099-12-31	2	7	47
183	S3	2019-01-01	2099-12-31	2	7	47
184	S1	2019-01-01	2099-12-31	2	7	48
185	S2	2019-01-01	2099-12-31	2	7	48
186	S3	2019-01-01	2099-12-31	2	7	48
187	S1	2019-01-01	2099-12-31	2	7	49
188	S2	2019-01-01	2099-12-31	2	7	49
189	S3	2019-01-01	2099-12-31	2	7	49
190	S1	2019-01-01	2099-12-31	2	7	50
191	S2	2019-01-01	2099-12-31	2	7	50
192	S3	2019-01-01	2099-12-31	2	7	50
193	S1	2019-01-01	2099-12-31	2	7	51
194	S2	2019-01-01	2099-12-31	2	7	51
195	S3	2019-01-01	2099-12-31	2	7	51
196	S1	2019-01-01	2099-12-31	2	7	52
197	S2	2019-01-01	2099-12-31	2	7	52
198	S3	2019-01-01	2099-12-31	2	7	52
199	S1	2019-01-01	2099-12-31	2	7	53
200	S2	2019-01-01	2099-12-31	2	7	53
201	S3	2019-01-01	2099-12-31	2	7	53
202	S1	2019-01-01	2099-12-31	2	7	54
203	S2	2019-01-01	2099-12-31	2	7	54
204	S3	2019-01-01	2099-12-31	2	7	54
205	S1	2019-01-01	2099-12-31	2	7	55
206	S2	2019-01-01	2099-12-31	2	7	55
207	S3	2019-01-01	2099-12-31	2	7	55
208	S1	2019-01-01	2099-12-31	2	7	56
209	S2	2019-01-01	2099-12-31	2	7	56
210	S3	2019-01-01	2099-12-31	2	7	56
211	S1	2019-01-01	2099-12-31	2	7	57
212	S2	2019-01-01	2099-12-31	2	7	57
213	S3	2019-01-01	2099-12-31	2	7	57
214	S1	2019-01-01	2099-12-31	2	7	58
215	S2	2019-01-01	2099-12-31	2	7	58
216	S3	2019-01-01	2099-12-31	2	7	58
217	S1	2019-01-01	2099-12-31	2	7	59
218	S2	2019-01-01	2099-12-31	2	7	59
219	S3	2019-01-01	2099-12-31	2	7	59
220	S1	2019-01-01	2099-12-31	2	7	60
221	S2	2019-01-01	2099-12-31	2	7	60
222	S3	2019-01-01	2099-12-31	2	7	60
223	S1	2019-01-01	2099-12-31	2	7	61
224	S2	2019-01-01	2099-12-31	2	7	61
225	S3	2019-01-01	2099-12-31	2	7	61
226	S4	2019-01-01	2099-12-31	2	7	61
227	S1	2019-01-01	2099-12-31	2	7	62
228	S2	2019-01-01	2099-12-31	2	7	62
229	S3	2019-01-01	2099-12-31	2	7	62
230	S1	2019-01-01	2099-12-31	2	7	63
231	S2	2019-01-01	2099-12-31	2	7	63
232	S3	2019-01-01	2099-12-31	2	7	63
233	S1	2019-01-01	2099-12-31	2	8	64
234	S2	2019-01-01	2099-12-31	2	8	64
235	S3	2019-01-01	2099-12-31	2	8	64
236	S1	2019-01-01	2099-12-31	2	8	65
237	S2	2019-01-01	2099-12-31	2	8	65
238	S3	2019-01-01	2099-12-31	2	8	65
239	S1	2019-01-01	2099-12-31	2	8	66
240	S2	2019-01-01	2099-12-31	2	8	66
241	S3	2019-01-01	2099-12-31	2	8	66
242	S1	2019-01-01	2099-12-31	2	8	67
243	S2	2019-01-01	2099-12-31	2	8	67
244	S3	2019-01-01	2099-12-31	2	8	67
245	S1	2019-01-01	2099-12-31	2	8	68
246	S2	2019-01-01	2099-12-31	2	8	68
247	S3	2019-01-01	2099-12-31	2	8	68
248	S1	2019-01-01	2099-12-31	2	8	69
249	S2	2019-01-01	2099-12-31	2	8	69
250	S3	2019-01-01	2099-12-31	2	8	69
251	S1	2019-01-01	2099-12-31	2	8	70
252	S2	2019-01-01	2099-12-31	2	8	70
253	S3	2019-01-01	2099-12-31	2	8	70
254	S1	2019-01-01	2099-12-31	2	8	71
255	S2	2019-01-01	2099-12-31	2	8	71
256	S3	2019-01-01	2099-12-31	2	8	71
257	S1	2019-01-01	2099-12-31	2	8	72
258	S2	2019-01-01	2099-12-31	2	8	72
259	S3	2019-01-01	2099-12-31	2	8	72
260	S1	2019-01-01	2099-12-31	2	8	73
261	S2	2019-01-01	2099-12-31	2	8	73
262	S3	2019-01-01	2099-12-31	2	8	73
263	S1	2019-01-01	2099-12-31	2	8	74
264	S2	2019-01-01	2099-12-31	2	8	74
265	S3	2019-01-01	2099-12-31	2	8	74
266	S1	2019-01-01	2099-12-31	2	8	75
267	S2	2019-01-01	2099-12-31	2	8	75
268	S3	2019-01-01	2099-12-31	2	8	75
269	S1	2019-01-01	2099-12-31	2	8	76
270	S2	2019-01-01	2099-12-31	2	8	76
271	S3	2019-01-01	2099-12-31	2	8	76
272	S1	2019-01-01	2099-12-31	2	8	77
273	S2	2019-01-01	2099-12-31	2	8	77
274	S3	2019-01-01	2099-12-31	2	8	77
275	S1	2019-01-01	2099-12-31	2	8	78
276	S2	2019-01-01	2099-12-31	2	8	78
277	S3	2019-01-01	2099-12-31	2	8	78
278	S4	2019-01-01	2099-12-31	2	8	78
279	S1	2019-01-01	2099-12-31	2	8	79
280	S2	2019-01-01	2099-12-31	2	8	79
281	S3	2019-01-01	2099-12-31	2	8	79
282	S1	2019-01-01	2099-12-31	2	8	80
283	S2	2019-01-01	2099-12-31	2	8	80
284	S3	2019-01-01	2099-12-31	2	8	80
285	S1	2019-01-01	2099-12-31	2	9	81
286	S2	2019-01-01	2099-12-31	2	9	81
287	S3	2019-01-01	2099-12-31	2	9	81
288	S1	2019-01-01	2099-12-31	2	9	82
289	S2	2019-01-01	2099-12-31	2	9	82
290	S3	2019-01-01	2099-12-31	2	9	82
291	S1	2019-01-01	2099-12-31	2	9	83
292	S2	2019-01-01	2099-12-31	2	9	83
293	S3	2019-01-01	2099-12-31	2	9	83
294	S1	2019-01-01	2099-12-31	2	9	84
295	S2	2019-01-01	2099-12-31	2	9	84
296	S3	2019-01-01	2099-12-31	2	9	84
297	S1	2019-01-01	2099-12-31	2	9	85
298	S2	2019-01-01	2099-12-31	2	9	85
299	S3	2019-01-01	2099-12-31	2	9	85
300	S1	2019-01-01	2099-12-31	2	9	86
301	S2	2019-01-01	2099-12-31	2	9	86
302	S3	2019-01-01	2099-12-31	2	9	86
303	S1	2019-01-01	2099-12-31	2	9	87
304	S2	2019-01-01	2099-12-31	2	9	87
305	S3	2019-01-01	2099-12-31	2	9	87
306	S1	2019-01-01	2099-12-31	2	9	88
307	S2	2019-01-01	2099-12-31	2	9	88
308	S3	2019-01-01	2099-12-31	2	9	88
309	S1	2019-01-01	2099-12-31	2	9	89
310	S2	2019-01-01	2099-12-31	2	9	89
311	S3	2019-01-01	2099-12-31	2	9	89
312	S1	2019-01-01	2099-12-31	2	9	90
313	S2	2019-01-01	2099-12-31	2	9	90
314	S3	2019-01-01	2099-12-31	2	9	90
315	S1	2019-01-01	2099-12-31	2	9	91
316	S2	2019-01-01	2099-12-31	2	9	91
317	S3	2019-01-01	2099-12-31	2	9	91
318	S1	2019-01-01	2099-12-31	2	9	92
319	S2	2019-01-01	2099-12-31	2	9	92
320	S3	2019-01-01	2099-12-31	2	9	92
321	S1	2019-01-01	2099-12-31	2	9	93
322	S2	2019-01-01	2099-12-31	2	9	93
323	S3	2019-01-01	2099-12-31	2	9	93
324	S1	2019-01-01	2099-12-31	2	9	94
325	S2	2019-01-01	2099-12-31	2	9	94
326	S3	2019-01-01	2099-12-31	2	9	94
327	S1	2019-01-01	2099-12-31	2	9	95
328	S2	2019-01-01	2099-12-31	2	9	95
329	S3	2019-01-01	2099-12-31	2	9	95
330	S4	2019-01-01	2099-12-31	2	9	95
331	S1	2019-01-01	2099-12-31	2	9	96
332	S2	2019-01-01	2099-12-31	2	9	96
333	S3	2019-01-01	2099-12-31	2	9	96
334	S1	2019-01-01	2099-12-31	2	9	97
335	S2	2019-01-01	2099-12-31	2	9	97
336	S3	2019-01-01	2099-12-31	2	9	97
